fips,raw_oof_score,calibrated_score,score_decile,has_enacted_restrictive
01001,0.0954,0.0915,7,0
01003,0.1533,0.1566,9,0
01005,0.0461,0.0428,4,0
01007,0.0469,0.0398,3,0
01009,0.0747,0.0699,6,0
01011,0.0311,0.0271,2,0
01013,0.0449,0.0412,3,0
01015,0.1073,0.1042,8,0
01017,0.0592,0.0558,5,0
01019,0.0542,0.0491,4,0
01021,0.0659,0.0627,6,0
01023,0.036,0.0313,2,0
01025,0.0446,0.0396,3,0
01027,0.0416,0.0347,3,0
01029,0.0468,0.0422,4,0
01031,0.082,0.0796,7,0
01033,0.0816,0.0791,7,0
01035,0.034,0.0299,2,0
01037,0.0353,0.0323,2,0
01039,0.0601,0.0552,5,0
01041,0.0416,0.0367,3,0
01043,0.0917,0.0899,7,1
01045,0.077,0.0723,6,0
01047,0.0593,0.0542,5,0
01049,0.074,0.0709,6,0
01051,0.1967,0.2081,9,0
01053,0.0531,0.046,4,0
01055,0.1008,0.0967,8,0
01057,0.0444,0.0394,3,0
01059,0.0585,0.0552,5,0
01061,0.053,0.0497,4,0
01063,0.0306,0.0243,1,0
01065,0.0429,0.0379,3,0
01067,0.0517,0.0484,4,0
01069,0.1269,0.128,8,0
01071,0.0881,0.086,7,0
01073,0.5133,0.5446,10,1
01075,0.0392,0.0361,3,0
01077,0.111,0.1081,8,0
01079,0.0588,0.0517,5,0
01081,0.3323,0.3462,10,0
01083,0.1268,0.1259,8,0
01085,0.0719,0.0654,6,0
01087,0.053,0.0497,4,0
01089,0.3476,0.3645,10,0
01091,0.0477,0.0406,3,0
01093,0.052,0.0473,4,0
01095,0.1046,0.1023,8,0
01097,0.3045,0.3389,10,0
01099,0.0414,0.0383,3,0
01101,0.4099,0.4656,10,0
01103,0.1151,0.1125,8,0
01105,0.0342,0.0312,2,0
01107,0.0445,0.0412,3,0
01109,0.0748,0.0719,6,0
01111,0.0571,0.0536,5,0
01113,0.0763,0.07,6,0
01115,0.0984,0.0942,7,0
01117,0.3617,0.4081,10,1
01119,0.0388,0.0344,2,0
01121,0.1668,0.1722,9,0
01123,0.0671,0.064,6,0
01125,0.1542,0.1551,9,0
01127,0.0763,0.0735,6,0
01129,0.0416,0.0371,3,0
01131,0.0329,0.03,2,0
01133,0.0512,0.0476,4,0
02013,0.0262,0.0235,1,0
02016,0.0315,0.0269,2,0
02020,0.2373,0.2481,10,1
02050,0.0358,0.0327,2,0
02060,0.025,0.0217,1,0
02063,0.0436,0.0367,3,0
02066,0.0276,0.0239,1,0
02068,0.0241,0.0184,1,0
02070,0.0296,0.0267,1,0
02090,0.1197,0.1165,8,0
02100,0.0371,0.0323,2,0
02105,0.0255,0.0222,1,0
02110,0.1059,0.1027,8,0
02122,0.0856,0.0828,7,0
02130,0.0517,0.047,4,0
02150,0.0531,0.0498,4,0
02158,0.0255,0.0197,1,0
02164,0.0186,0.0151,1,0
02170,0.0878,0.0858,7,0
02180,0.0368,0.0331,2,0
02185,0.0314,0.0269,2,0
02188,0.0265,0.0228,1,0
02195,0.0324,0.0283,2,0
02198,0.0316,0.0276,2,0
02220,0.0545,0.0475,4,0
02230,0.03,0.0271,2,0
02240,0.0308,0.0273,2,0
02275,0.0246,0.0206,1,0
02282,0.0147,0.0121,1,0
02290,0.0254,0.0227,1,0
04001,0.05,0.0463,4,0
04003,0.1,0.0958,8,1
04005,0.1001,0.096,8,0
04007,0.0583,0.0532,5,0
04009,0.047,0.0433,4,0
04011,0.0323,0.0259,1,0
04012,0.0307,0.0278,2,0
04013,0.5655,0.5946,10,1
04015,0.0795,0.0735,6,0
04017,0.064,0.059,5,0
04019,0.2437,0.2589,10,0
04021,0.1358,0.1349,8,0
04023,0.0745,0.0697,6,0
04025,0.1124,0.1122,8,0
04027,0.09,0.0856,7,0
05001,0.0501,0.045,4,0
05003,0.0491,0.0455,4,0
05005,0.0849,0.0826,7,0
05007,0.2275,0.2452,10,0
05009,0.0762,0.0714,6,0
05011,0.0425,0.0375,3,0
05013,0.0332,0.0291,2,0
05015,0.0753,0.069,6,1
05017,0.0456,0.0419,3,0
05019,0.0683,0.0651,6,0
05021,0.05,0.043,4,0
05023,0.0679,0.0631,6,0
05025,0.0414,0.0377,3,0
05027,0.0654,0.0622,6,0
05029,0.0633,0.0601,5,0
05031,0.1435,0.1452,9,0
05033,0.1005,0.0964,8,0
05035,0.1673,0.1671,9,0
05037,0.0537,0.0486,4,0
05039,0.0317,0.0253,1,0
05041,0.041,0.0361,3,0
05043,0.0599,0.0566,5,0
05045,0.2935,0.3153,10,0
05047,0.0528,0.048,4,0
05049,0.0472,0.0401,3,0
05051,0.1322,0.1296,8,0
05053,0.062,0.057,5,0
05055,0.0833,0.0787,7,0
05057,0.0566,0.0518,5,0
05059,0.0734,0.0702,6,0
05061,0.0516,0.0479,4,0
05063,0.0752,0.0689,6,0
05065,0.054,0.0492,4,0
05067,0.0523,0.049,4,0
05069,0.0975,0.0938,7,0
05071,0.1272,0.1243,8,0
05073,0.0338,0.0297,2,0
05075,0.0507,0.0456,4,0
05077,0.0346,0.0304,2,0
05079,0.0451,0.0419,3,0
05081,0.0497,0.045,4,0
05083,0.0599,0.053,5,0
05085,0.1078,0.1071,8,0
05087,0.0491,0.042,3,0
05089,0.0546,0.0475,4,0
05091,0.0803,0.0773,7,0
05093,0.0709,0.066,6,0
05095,0.0384,0.0347,2,0
05097,0.0409,0.0377,3,0
05099,0.0364,0.0321,2,0
05101,0.035,0.0284,2,0
05103,0.0592,0.0544,5,0
05105,0.0449,0.0398,3,0
05107,0.0513,0.0442,4,0
05109,0.0492,0.0459,4,0
05111,0.0565,0.0495,4,0
05113,0.0554,0.0503,4,0
05115,0.1052,0.103,8,0
05117,0.0428,0.0391,3,0
05119,0.4546,0.4815,10,1
05121,0.0533,0.0497,4,0
05123,0.0589,0.0555,5,0
05125,0.1475,0.1507,9,0
05127,0.0367,0.032,2,0
05129,0.0368,0.0301,2,0
05131,0.1471,0.147,9,0
05133,0.0469,0.0419,3,0
05135,0.0509,0.0458,4,0
05137,0.0477,0.0426,4,0
05139,0.0743,0.0679,6,0
05141,0.0507,0.0436,4,0
05143,0.2036,0.2101,9,1
05145,0.1175,0.1158,8,0
05147,0.036,0.0323,2,0
05149,0.0542,0.0506,5,0
06001,0.5057,0.5365,10,0
06003,0.0258,0.0231,1,0
06005,0.0648,0.058,5,0
06007,0.13,0.1274,8,0
06009,0.0627,0.0577,5,0
06011,0.039,0.0353,3,0
06013,0.356,0.386,10,1
06015,0.0511,0.0475,4,0
06017,0.1406,0.1401,8,0
06019,0.1622,0.1671,9,0
06021,0.0449,0.0379,3,0
06023,0.0949,0.0902,7,0
06025,0.0762,0.0734,6,1
06027,0.0373,0.0305,2,0
06029,0.1332,0.135,8,0
06031,0.0874,0.083,7,0
06033,0.0681,0.0649,6,0
06035,0.0362,0.0319,2,0
06037,0.5684,0.6031,10,1
06039,0.0844,0.0815,7,0
06041,0.2708,0.2896,10,0
06043,0.0472,0.0436,4,0
06045,0.0723,0.0691,6,0
06047,0.1021,0.0986,8,0
06049,0.0269,0.0232,1,0
06051,0.0433,0.0383,3,0
06053,0.1387,0.141,9,0
06055,0.1622,0.1617,9,0
06057,0.125,0.1237,8,0
06059,0.4746,0.499,10,0
06061,0.209,0.2196,9,0
06063,0.0393,0.0362,3,0
06065,0.2539,0.2615,10,1
06067,0.3929,0.4273,10,0
06069,0.0699,0.0668,6,0
06071,0.1922,0.1973,9,0
06073,0.4386,0.4781,10,0
06075,0.5721,0.62,10,0
06077,0.185,0.1863,9,0
06079,0.1687,0.1711,9,0
06081,0.3337,0.3477,10,0
06083,0.1661,0.1717,9,0
06085,0.6663,0.717,10,0
06087,0.2104,0.2139,9,0
06089,0.0935,0.0918,7,0
06091,0.0214,0.0177,1,0
06093,0.0476,0.0443,4,0
06095,0.2008,0.2043,9,0
06097,0.1973,0.2088,9,0
06099,0.1772,0.1839,9,0
06101,0.0926,0.0882,7,0
06103,0.0581,0.053,5,0
06105,0.0322,0.0276,2,0
06107,0.114,0.1105,8,0
06109,0.0635,0.0584,5,0
06111,0.2229,0.228,9,0
06113,0.1745,0.1761,9,0
06115,0.0807,0.0778,7,0
08001,0.2454,0.2608,10,0
08003,0.0638,0.0605,5,0
08005,0.4642,0.5035,10,0
08007,0.0651,0.0618,6,0
08009,0.0264,0.0227,1,0
08011,0.0274,0.0214,1,0
08013,0.3241,0.3374,10,1
08014,0.3418,0.37,10,0
08015,0.0879,0.0825,7,0
08017,0.0208,0.0184,1,0
08019,0.0981,0.0967,8,0
08021,0.0378,0.0342,2,0
08023,0.031,0.0275,2,0
08025,0.0282,0.0239,1,0
08027,0.0434,0.0397,3,0
08029,0.0715,0.0666,6,0
08031,0.5225,0.5671,10,1
08033,0.0242,0.0216,1,0
08035,0.3896,0.4416,10,0
08037,0.1366,0.1359,8,0
08039,0.0775,0.0728,6,0
08041,0.3609,0.3881,10,0
08043,0.0744,0.0696,6,0
08045,0.0934,0.0891,7,0
08047,0.0745,0.0714,6,0
08049,0.0707,0.0659,6,0
08051,0.0956,0.0917,7,0
08053,0.0277,0.0249,1,0
08055,0.0367,0.0325,2,0
08057,0.0208,0.0155,1,0
08059,0.3345,0.3501,10,0
08061,0.0171,0.015,1,0
08063,0.03,0.0256,1,0
08065,0.0689,0.0658,6,0
08067,0.123,0.12,8,0
08069,0.256,0.2798,10,1
08071,0.0345,0.0303,2,0
08073,0.0324,0.026,1,0
08075,0.0485,0.0414,3,1
08077,0.1269,0.128,8,0
08079,0.0347,0.0317,2,0
08081,0.0374,0.0306,2,0
08083,0.0655,0.0607,5,0
08085,0.0768,0.0721,6,0
08087,0.0566,0.0515,5,0
08089,0.049,0.042,3,0
08091,0.0732,0.0703,6,0
08093,0.0655,0.0623,6,0
08095,0.0359,0.0328,2,0
08097,0.1251,0.1261,8,0
08099,0.0399,0.0368,3,0
08101,0.1186,0.1167,8,0
08103,0.0345,0.0304,2,0
08105,0.0539,0.0492,4,0
08107,0.0962,0.0916,7,0
08109,0.0369,0.0327,2,0
08111,0.0304,0.0275,2,0
08113,0.0858,0.0829,7,0
08115,0.0279,0.0245,1,0
08117,0.1332,0.1321,8,0
08119,0.0904,0.0863,7,1
08121,0.0313,0.0278,2,0
08123,0.1673,0.1671,9,1
08125,0.0398,0.033,2,0
09110,0.3518,0.3778,10,0
09120,0.3254,0.3388,10,0
09130,0.2168,0.2323,9,0
09140,0.2448,0.2515,10,0
09150,0.118,0.1156,8,0
09160,0.1514,0.1521,9,0
09170,0.3368,0.3643,10,0
09180,0.2024,0.2149,9,0
09190,0.4105,0.4305,10,0
10001,0.1606,0.1652,9,0
10003,0.6626,0.7422,10,1
10005,0.1857,0.1881,9,0
11001,0.549,0.6243,10,0
12001,0.3192,0.3321,10,0
12003,0.0675,0.0607,5,0
12005,0.1731,0.1799,9,0
12007,0.0725,0.0676,6,0
12009,0.2699,0.285,10,0
12011,0.4606,0.5249,10,0
12013,0.0486,0.0415,3,0
12015,0.1685,0.1698,9,0
12017,0.141,0.1406,9,1
12019,0.1894,0.1993,9,1
12021,0.244,0.2557,10,0
12023,0.0919,0.0875,7,0
12027,0.0679,0.0647,6,0
12029,0.0449,0.0398,3,0
12031,0.3782,0.3958,10,0
12033,0.2149,0.2263,9,0
12035,0.1657,0.171,9,0
12037,0.0591,0.0558,5,0
12039,0.0887,0.0842,7,0
12041,0.0597,0.0549,5,0
12043,0.0443,0.0393,3,0
12045,0.0631,0.0562,5,0
12047,0.0463,0.0412,3,0
12049,0.0592,0.054,5,0
12051,0.0631,0.0562,5,0
12053,0.1658,0.1668,9,0
12055,0.1118,0.109,8,0
12057,0.4569,0.5206,10,0
12059,0.0554,0.0518,5,0
12061,0.1902,0.1985,9,0
12063,0.0759,0.0732,6,0
12065,0.0558,0.0487,4,0
12067,0.0347,0.0311,2,0
12069,0.2092,0.2125,9,0
12071,0.289,0.3102,10,0
12073,0.2757,0.2916,10,0
12075,0.076,0.0732,6,0
12077,0.0372,0.0341,2,0
12079,0.0506,0.0459,4,0
12081,0.2523,0.2651,10,0
12083,0.1862,0.1955,9,0
12085,0.2006,0.2128,9,0
12086,0.4757,0.5162,10,0
12087,0.1448,0.1448,9,0
12089,0.1528,0.1566,9,1
12091,0.1902,0.1985,9,0
12093,0.0744,0.0713,6,0
12095,0.4399,0.462,10,0
12097,0.2101,0.2143,9,1
12099,0.3563,0.3863,10,0
12101,0.2579,0.275,10,0
12103,0.3647,0.3812,10,0
12105,0.262,0.2872,10,0
12107,0.095,0.0907,7,0
12109,0.2956,0.3066,10,0
12111,0.207,0.2174,9,0
12113,0.1749,0.1812,9,0
12115,0.3038,0.327,10,0
12117,0.3333,0.3473,10,0
12119,0.1819,0.1904,9,0
12121,0.0792,0.0766,7,0
12123,0.0527,0.0479,4,0
12125,0.0561,0.0514,5,0
12127,0.2381,0.2581,10,0
12129,0.0805,0.078,7,0
12131,0.1329,0.1318,8,0
12133,0.0619,0.057,5,0
13001,0.0429,0.0384,3,0
13003,0.0322,0.0287,2,0
13005,0.0391,0.0343,2,0
13007,0.0243,0.0203,1,0
13009,0.0898,0.087,7,0
13011,0.0577,0.0542,5,0
13013,0.12,0.1168,8,0
13015,0.1167,0.1145,8,0
13017,0.0489,0.0452,4,0
13019,0.0447,0.0377,3,0
13021,0.1539,0.1542,9,0
13023,0.048,0.0409,3,0
13025,0.0453,0.0416,3,0
13027,0.0431,0.0361,3,1
13029,0.1053,0.1014,8,0
13031,0.1117,0.1089,8,1
13033,0.05,0.0453,4,0
13035,0.0622,0.0588,5,0
13037,0.0301,0.0262,1,0
13039,0.0835,0.0806,7,1
13043,0.0427,0.0377,3,0
13045,0.1185,0.1153,8,0
13047,0.1188,0.1192,8,0
13049,0.0356,0.0289,2,0
13051,0.2197,0.2358,9,0
13053,0.0519,0.0468,4,0
13055,0.0557,0.051,5,0
13057,0.2169,0.2286,9,1
13059,0.2311,0.2368,10,1
13061,0.0305,0.027,2,0
13063,0.1846,0.1936,9,1
13065,0.0287,0.0259,1,0
13067,0.4377,0.4742,10,1
13069,0.0656,0.0607,5,0
13071,0.0689,0.0639,6,0
13073,0.1856,0.19,9,0
13075,0.0552,0.0504,5,0
13077,0.2928,0.3246,10,1
13079,0.0426,0.0381,3,1
13081,0.0558,0.0522,5,0
13083,0.0569,0.0518,5,0
13085,0.097,0.0928,7,0
13087,0.055,0.0502,4,1
13089,0.3518,0.3812,10,1
13091,0.0482,0.0412,3,0
13093,0.0388,0.0344,2,0
13095,0.1095,0.1064,8,1
13097,0.2489,0.2612,10,1
13099,0.0391,0.0359,3,1
13101,0.0237,0.0202,1,0
13103,0.1013,0.1002,8,0
13105,0.0503,0.0433,4,0
13107,0.0475,0.0405,3,0
13109,0.0457,0.0411,3,0
13111,0.0666,0.0616,6,0
13113,0.2561,0.2693,10,1
13115,0.1137,0.1118,8,1
13117,0.3277,0.3413,10,1
13119,0.0617,0.0583,5,0
13121,0.5896,0.6253,10,1
13123,0.0719,0.0671,6,1
13125,0.0261,0.0219,1,0
13127,0.1235,0.1221,8,1
13129,0.0854,0.0798,7,1
13131,0.0572,0.0537,5,0
13133,0.0762,0.0699,6,0
13135,0.4127,0.4689,10,0
13137,0.0912,0.0871,7,0
13139,0.1589,0.1632,9,1
13141,0.0322,0.0293,2,0
13143,0.0677,0.0645,6,0
13145,0.0907,0.0856,7,0
13147,0.0669,0.0637,6,0
13149,0.0405,0.0373,3,0
13151,0.1822,0.1894,9,1
13153,0.163,0.168,9,0
13155,0.0396,0.0359,3,0
13157,0.1169,0.1171,8,0
13159,0.0524,0.0473,4,0
13161,0.0444,0.0407,3,0
13163,0.0415,0.0383,3,0
13165,0.0335,0.0294,2,0
13167,0.0339,0.0274,2,0
13169,0.0637,0.0604,5,1
13171,0.0625,0.0593,5,1
13173,0.0472,0.0421,3,0
13175,0.068,0.063,6,0
13177,0.0906,0.0865,7,0
13179,0.089,0.087,7,0
13181,0.0389,0.0345,2,0
13183,0.0473,0.0436,4,0
13185,0.1282,0.1275,8,1
13187,0.092,0.087,7,0
13189,0.0595,0.0544,5,0
13191,0.043,0.0385,3,0
13193,0.0387,0.0355,3,0
13195,0.0714,0.0684,6,0
13197,0.0338,0.0297,2,0
13199,0.0485,0.0438,4,0
13201,0.0388,0.0351,3,0
13205,0.0487,0.0454,4,0
13207,0.0784,0.0753,7,1
13209,0.0441,0.0409,3,0
13211,0.0694,0.0628,6,0
13213,0.0664,0.0596,5,0
13215,0.2253,0.2302,9,0
13217,0.1827,0.19,9,1
13219,0.1658,0.1656,9,0
13221,0.0554,0.0521,5,0
13223,0.1578,0.1584,9,0
13225,0.0855,0.0827,7,0
13227,0.0851,0.0828,7,0
13229,0.0567,0.0532,5,0
13231,0.0646,0.0598,5,1
13233,0.0705,0.0655,6,1
13235,0.0386,0.0338,2,0
13237,0.0702,0.0636,6,0
13239,0.0202,0.017,1,0
13241,0.065,0.06,5,0
13243,0.0325,0.0296,2,0
13245,0.1595,0.1641,9,1
13247,0.1431,0.143,9,1
13249,0.0359,0.0312,2,0
13251,0.0412,0.0368,3,0
13253,0.0407,0.0376,3,0
13255,0.0986,0.0973,8,1
13257,0.0633,0.0582,5,0
13259,0.0255,0.0228,1,0
13261,0.0659,0.0627,6,0
13263,0.0314,0.0274,2,0
13265,0.0181,0.0147,1,0
13267,0.0532,0.0496,4,0
13269,0.0368,0.0301,2,0
13271,0.0359,0.0293,2,0
13273,0.0344,0.0314,2,0
13275,0.0808,0.0778,7,1
13277,0.0806,0.076,7,0
13279,0.0655,0.0604,5,0
13281,0.0692,0.0644,6,0
13283,0.0346,0.0304,2,0
13285,0.0977,0.094,7,1
13287,0.0359,0.0323,2,0
13289,0.0328,0.0298,2,0
13291,0.0714,0.0649,6,0
13293,0.062,0.0572,5,0
13295,0.0926,0.0883,7,1
13297,0.125,0.1221,8,1
13299,0.0571,0.0538,5,0
13301,0.0292,0.0248,1,0
13303,0.0496,0.0445,4,0
13305,0.057,0.0535,5,0
13307,0.0227,0.0172,1,0
13309,0.0349,0.0319,2,0
13311,0.0751,0.0688,6,0
13313,0.1123,0.1095,8,0
13315,0.036,0.0313,2,0
13317,0.0362,0.032,2,0
13319,0.0359,0.0317,2,0
13321,0.0474,0.0428,4,0
15001,0.1638,0.1648,9,0
15003,0.3824,0.4123,10,0
15005,0.0145,0.0115,1,0
15007,0.1425,0.1406,9,0
15009,0.1786,0.1854,9,0
16001,0.3424,0.3588,10,1
16003,0.0298,0.0254,1,0
16005,0.1173,0.114,8,0
16007,0.0404,0.0372,3,0
16009,0.0427,0.0358,3,0
16011,0.071,0.068,6,0
16013,0.0835,0.0811,7,0
16015,0.0419,0.037,3,0
16017,0.0858,0.0813,7,0
16019,0.1283,0.1295,8,0
16021,0.042,0.0371,3,0
16023,0.0183,0.0153,1,0
16025,0.0217,0.0186,1,0
16027,0.1672,0.167,9,0
16029,0.03,0.0261,1,0
16031,0.0512,0.0441,4,0
16033,0.0139,0.011,1,0
16035,0.0337,0.0272,2,0
16037,0.0258,0.02,1,0
16039,0.0536,0.0465,4,0
16041,0.0533,0.0497,4,0
16043,0.0439,0.0394,3,0
16045,0.0622,0.0553,5,0
16047,0.0496,0.0459,4,0
16049,0.0384,0.0316,2,0
16051,0.0746,0.0717,6,0
16053,0.0563,0.0528,5,0
16055,0.146,0.1443,9,1
16057,0.114,0.114,8,0
16059,0.0321,0.0257,1,0
16061,0.0303,0.024,1,0
16063,0.0261,0.0234,1,0
16065,0.153,0.1538,9,0
16067,0.054,0.0489,4,0
16069,0.0864,0.0808,7,0
16071,0.0331,0.0295,2,0
16073,0.0295,0.0266,1,0
16075,0.0683,0.0651,6,0
16077,0.0344,0.0314,2,0
16079,0.0347,0.0317,2,0
16081,0.086,0.0805,7,0
16083,0.0954,0.0907,7,0
16085,0.0484,0.0451,4,0
16087,0.0386,0.035,3,0
17001,0.0888,0.0845,7,0
17003,0.0276,0.0216,1,0
17005,0.0531,0.0484,4,0
17007,0.0913,0.0886,7,0
17009,0.0308,0.0245,1,0
17011,0.0606,0.0555,5,0
17013,0.0296,0.0262,1,0
17015,0.0471,0.0434,4,0
17017,0.0453,0.0403,3,0
17019,0.2182,0.2224,9,1
17021,0.0559,0.0488,4,0
17023,0.0508,0.0437,4,0
17025,0.04,0.0331,2,0
17027,0.0748,0.0685,6,0
17029,0.0867,0.0822,7,0
17031,0.6544,0.6857,10,0
17033,0.0523,0.0486,4,0
17035,0.0407,0.0339,2,0
17037,0.1715,0.1717,9,0
17039,0.0498,0.0462,4,0
17041,0.0544,0.0493,4,0
17043,0.5537,0.5876,10,0
17045,0.0476,0.0429,4,0
17047,0.032,0.0275,2,0
17049,0.0733,0.0685,6,0
17051,0.0474,0.0428,4,0
17053,0.0456,0.0419,3,0
17055,0.0655,0.0623,6,0
17057,0.0558,0.0488,4,0
17059,0.0266,0.0207,1,0
17061,0.0374,0.0306,2,0
17063,0.0878,0.0834,7,0
17065,0.0336,0.0271,2,0
17067,0.0501,0.0455,4,0
17069,0.0258,0.0216,1,0
17071,0.0327,0.0286,2,0
17073,0.0758,0.0711,6,0
17075,0.0477,0.0407,3,0
17077,0.1021,0.0986,8,0
17079,0.0388,0.0344,2,0
17081,0.0657,0.0624,6,0
17083,0.0569,0.0521,5,0
17085,0.0628,0.058,5,0
17087,0.045,0.04,3,0
17089,0.2494,0.2566,10,0
17091,0.0991,0.0978,8,1
17093,0.1631,0.1649,9,0
17095,0.0721,0.0672,6,0
17097,0.3622,0.3806,10,0
17099,0.0886,0.0858,7,1
17101,0.0444,0.0407,3,0
17103,0.0619,0.0586,5,0
17105,0.0564,0.0513,5,0
17107,0.0565,0.0495,4,1
17109,0.0718,0.0653,6,0
17111,0.2033,0.216,9,0
17113,0.1737,0.1799,9,1
17115,0.1082,0.1052,8,0
17117,0.0637,0.0568,5,0
17119,0.191,0.196,9,1
17121,0.0642,0.0594,5,0
17123,0.0438,0.0393,3,0
17125,0.0418,0.0374,3,0
17127,0.0479,0.0442,4,0
17129,0.0521,0.0485,4,0
17131,0.0454,0.0403,3,0
17133,0.0982,0.0957,8,0
17135,0.0573,0.054,5,0
17137,0.067,0.062,6,1
17139,0.0483,0.0446,4,0
17141,0.0778,0.0747,7,0
17143,0.1614,0.1622,9,0
17145,0.0465,0.0433,4,0
17147,0.0626,0.0594,5,0
17149,0.0414,0.0383,3,0
17151,0.0245,0.0188,1,0
17153,0.03,0.0265,1,0
17155,0.0406,0.0357,3,0
17157,0.0538,0.0505,5,0
17159,0.0504,0.0457,4,0
17161,0.1269,0.1257,8,0
17163,0.1697,0.171,9,0
17165,0.0599,0.0551,5,0
17167,0.1579,0.1571,9,0
17169,0.0339,0.0274,2,0
17171,0.0341,0.0276,2,0
17173,0.0487,0.0455,4,0
17175,0.0318,0.0255,1,0
17177,0.0742,0.0711,6,0
17179,0.1225,0.1205,8,1
17181,0.0516,0.0445,4,0
17183,0.0743,0.0679,6,0
17185,0.045,0.0404,3,0
17187,0.0506,0.0469,4,0
17189,0.048,0.0443,4,0
17191,0.0419,0.035,3,0
17193,0.0398,0.0349,3,0
17195,0.0757,0.071,6,0
17197,0.2517,0.2591,10,1
17199,0.1046,0.1007,8,0
17201,0.1645,0.1696,9,1
17203,0.0908,0.0864,7,0
18001,0.0775,0.0745,7,0
18003,0.4085,0.464,10,0
18005,0.1537,0.1577,9,0
18007,0.0475,0.0438,4,0
18009,0.055,0.0517,5,0
18011,0.3346,0.3487,10,1
18013,0.0718,0.0686,6,0
18015,0.0655,0.0604,5,0
18017,0.0807,0.0782,7,1
18019,0.1536,0.1575,9,0
18021,0.071,0.0661,6,0
18023,0.0775,0.0713,6,0
18025,0.0459,0.0422,3,0
18027,0.0774,0.0744,7,1
18029,0.1137,0.1136,8,1
18031,0.0763,0.0715,6,0
18033,0.0947,0.0931,7,0
18035,0.1485,0.1511,9,0
18037,0.0999,0.0986,8,0
18039,0.3023,0.3362,10,0
18041,0.0724,0.0693,6,0
18043,0.1604,0.165,9,1
18045,0.0574,0.0539,5,0
18047,0.0716,0.0668,6,1
18049,0.1291,0.1285,8,1
18051,0.0785,0.0724,6,0
18053,0.1073,0.1042,8,1
18055,0.0707,0.0658,6,0
18057,0.3883,0.4067,10,0
18059,0.2564,0.2642,10,0
18061,0.0912,0.0871,7,0
18063,0.3827,0.4159,10,0
18065,0.1756,0.182,9,0
18067,0.1241,0.1249,8,0
18069,0.0924,0.0881,7,1
18071,0.0906,0.0887,7,0
18073,0.1493,0.1493,9,0
18075,0.0597,0.0528,5,1
18077,0.1625,0.1675,9,0
18079,0.0691,0.0625,6,0
18081,0.1965,0.1988,9,0
18083,0.0805,0.0759,7,0
18085,0.1207,0.1212,8,0
18087,0.0774,0.0727,6,0
18089,0.3704,0.3896,10,1
18091,0.3326,0.373,10,0
18093,0.0911,0.0867,7,0
18095,0.1351,0.1344,8,1
18097,0.7104,0.7604,10,1
18099,0.0939,0.0899,7,1
18101,0.0441,0.0396,3,0
18103,0.0794,0.0764,7,0
18105,0.2659,0.2804,10,0
18107,0.0845,0.0816,7,0
18109,0.2194,0.2313,9,0
18111,0.052,0.0487,4,0
18113,0.0906,0.0879,7,0
18115,0.0525,0.0473,4,0
18117,0.0608,0.0557,5,0
18119,0.0668,0.062,6,0
18121,0.0533,0.0462,4,0
18123,0.0632,0.0563,5,0
18125,0.0524,0.0453,4,0
18127,0.191,0.1937,9,0
18129,0.0834,0.0805,7,0
18131,0.0483,0.045,4,1
18133,0.0842,0.0798,7,1
18135,0.0644,0.0576,5,0
18137,0.0761,0.0699,6,0
18139,0.0589,0.0556,5,0
18141,0.6377,0.7173,10,0
18143,0.0716,0.0651,6,0
18145,0.0913,0.0862,7,1
18147,0.0705,0.0673,6,0
18149,0.0645,0.0595,5,1
18151,0.0971,0.0946,7,0
18153,0.0612,0.0578,5,0
18155,0.0453,0.0403,3,0
18157,0.2667,0.2814,10,0
18159,0.0727,0.0696,6,0
18161,0.0505,0.0458,4,0
18163,0.1965,0.2078,9,0
18165,0.0622,0.0574,5,0
18167,0.1434,0.1416,9,0
18169,0.0846,0.0817,7,0
18171,0.0463,0.0392,3,0
18173,0.1456,0.1476,9,0
18175,0.0648,0.0599,5,0
18177,0.1095,0.1063,8,0
18179,0.077,0.0743,7,0
18181,0.0686,0.0636,6,1
18183,0.0911,0.087,7,0
19001,0.0808,0.0762,7,1
19003,0.034,0.0294,2,0
19005,0.0503,0.0433,4,0
19007,0.0501,0.045,4,0
19009,0.0365,0.0323,2,0
19011,0.0701,0.0652,6,0
19013,0.1513,0.1542,9,0
19015,0.0801,0.0771,7,0
19017,0.0911,0.0884,7,0
19019,0.0631,0.0598,5,0
19021,0.0627,0.0579,5,0
19023,0.0531,0.0483,4,0
19025,0.0445,0.0395,3,0
19027,0.0646,0.0598,5,0
19029,0.0509,0.0458,4,0
19031,0.0588,0.054,5,0
19033,0.0882,0.0838,7,0
19035,0.0482,0.0449,4,0
19037,0.048,0.0447,4,0
19039,0.043,0.0398,3,1
19041,0.0623,0.0589,5,0
19043,0.0483,0.045,4,1
19045,0.0837,0.0792,7,1
19047,0.0499,0.0448,4,0
19049,0.3744,0.4067,10,0
19051,0.0419,0.0382,3,0
19053,0.0446,0.0395,3,0
19055,0.0557,0.0524,5,0
19057,0.0868,0.084,7,0
19059,0.0755,0.0692,6,1
19061,0.1406,0.1401,8,1
19063,0.0412,0.0363,3,0
19065,0.0544,0.0508,5,0
19067,0.0535,0.0484,4,0
19069,0.0435,0.0403,3,1
19071,0.0388,0.034,2,0
19073,0.0422,0.0377,3,0
19075,0.0553,0.0517,5,0
19077,0.0484,0.0438,4,0
19079,0.0544,0.0511,5,0
